timestamp,metric_name,value
2025-05-25 14:24:30.444741+00:00,VRef_precharge,24.0
2025-05-25 14:24:06.433712+00:00,phasecurrent2_p_intr,135.0
2025-05-25 14:29:32.776561+00:00,phasecurrent1_p_frac,27.0
2025-05-25 14:24:27.425586+00:00,acc2,9.0
2025-05-25 14:30:41.869640+00:00,inputV1_p_frac,154.0
2025-05-25 14:28:33.721176+00:00,serial_throttle_2,164.0
2025-05-25 14:29:50.793644+00:00,cooling,130.0
2025-05-25 14:28:45.738616+00:00,susp_travel_FL,216.0
2025-05-25 14:28:48.728796+00:00,cooling,193.0
2025-05-25 14:29:24.765951+00:00,phasecurrent1_p_intr,37.0
2025-05-25 14:28:06.693479+00:00,brake_sens,113.0
2025-05-25 14:27:21.646127+00:00,phasecurrent2_p_frac,240.0
2025-05-25 14:25:45.544363+00:00,wheel_spin_1,219.0
2025-05-25 14:24:36.444685+00:00,susp_travel_BR,77.0
2025-05-25 14:26:33.541380+00:00,inputV2_p_intr,238.0
2025-05-25 14:29:00.748953+00:00,wheel_spin_1,159.0
2025-05-25 14:25:39.537259+00:00,brake_sens,185.0
2025-05-25 14:24:36.444685+00:00,wheel_spin_2,171.0
2025-05-25 14:28:39.730871+00:00,phasecurrent2_p_intr,137.0
2025-05-25 14:25:24.527081+00:00,susp_travel_BL,114.0
2025-05-25 14:26:48.598550+00:00,susp_travel_BL,205.0
2025-05-25 14:29:00.748953+00:00,inputV2_p_intr,122.0
2025-05-25 14:28:00.683612+00:00,ECU_control,7.0
2025-05-25 14:26:30.581308+00:00,phasecurrent1_p_frac,136.0
2025-05-25 14:28:12.690982+00:00,phasecurrent2_p_intr,233.0
2025-05-25 14:30:38.850939+00:00,susp_travel_FR,99.0
2025-05-25 14:29:21.766784+00:00,inputV1_p_intr,18.0
2025-05-25 14:26:12.561526+00:00,cooling,169.0
2025-05-25 14:27:09.628585+00:00,steer_sens,186.0
2025-05-25 14:29:15.765995+00:00,cooling,228.0
2025-05-25 14:30:32.850931+00:00,inputV2_p_frac,226.0
2025-05-25 14:29:44.783549+00:00,inputV1_p_frac,145.0
2025-05-25 14:25:45.544363+00:00,susp_travel_FR,207.0
2025-05-25 14:27:21.646127+00:00,susp_travel_BR,123.0
2025-05-25 14:24:27.425586+00:00,susp_travel_BR,177.0
2025-05-25 14:24:24.424897+00:00,wheel_spin_2,173.0
2025-05-25 14:29:30.776530+00:00,control_temp_2,0.0
2025-05-25 14:26:00.554259+00:00,acc2,178.0
2025-05-25 14:24:18.424831+00:00,steer_sens,27.0
2025-05-25 14:25:51.544938+00:00,susp_travel_BR,244.0
2025-05-25 14:29:24.765951+00:00,inputV1_p_intr,162.0
2025-05-25 14:28:15.711113+00:00,cooling,217.0
2025-05-25 14:25:45.544363+00:00,phasecurrent2_p_frac,155.0
2025-05-25 14:30:23.840811+00:00,phasecurrent1_p_intr,70.0
2025-05-25 14:24:06.433712+00:00,phasecurrent1_p_frac,106.0
2025-05-25 14:28:21.700793+00:00,phasecurrent2_p_frac,67.0
2025-05-25 14:25:18.517254+00:00,control_temp_1,0.0
2025-05-25 14:27:21.646127+00:00,control_temp_1,0.0
2025-05-25 14:29:41.793670+00:00,phasecurrent1_p_frac,220.0
2025-05-25 14:25:39.537259+00:00,meas_precharge,163.0
2025-05-25 14:26:21.571651+00:00,acc1,207.0
2025-05-25 14:25:33.527966+00:00,control_temp_2,0.0
2025-05-25 14:27:03.619434+00:00,susp_travel_FR,22.0
2025-05-25 14:24:03.459893+00:00,inputV2_p_intr,105.0
2025-05-25 14:27:33.656144+00:00,susp_travel_FL,224.0
2025-05-25 14:26:51.598709+00:00,phasecurrent1_p_intr,177.0
2025-05-25 14:25:00.456148+00:00,current_sensor,141.0
2025-05-25 14:24:54.419247+00:00,steer_sens,196.0
2025-05-25 14:29:27.766558+00:00,inputV1_p_frac,140.0
2025-05-25 14:26:12.561526+00:00,steer_sens,91.0
2025-05-25 14:24:09.451615+00:00,control_temp_1,0.0
2025-05-25 14:30:11.821696+00:00,VRef_precharge,223.0
